1,1,5
1,2,4.5
1,3,5
1,4,1.5
1,5,4.8
1,6,2
1,7,4.5
1,8,4
1,19,5
1,20,4.5
2,1,2
2,4,4.5
2,6,5
2,11,4.8
2,13,4.5
3,1,4.8
3,2,4
3,3,4.7
3,4,1
3,5,4.5
4,8,4.5
4,9,4
4,10,4.8
4,14,5
4,15,4.7
5,1,5
5,3,4.9
5,5,5
5,7,4.6
5,9,4.8
6,2,4.5
6,12,5
6,16,4.8
6,17,4.5
7,6,4.5
7,11,4
7,13,4.8
7,18,4.5
7,19,4.7
8,1,4.5
8,2,4.5
8,5,4.5
9,14,4.8
9,15,4.5
9,16,4.7
10,4,4.5
10,6,4
10,11,4.5
11,1,1
11,5,2
11,9,1.5
12,13,5
12,18,4.8
12,19,4.9
12,20,4.7
13,2,5
13,12,4.8
13,14,4.9
14,1,4.5
14,3,4
14,7,4.2
15,6,4.8
15,13,4.5
15,19,4.6
