1,1,5.0
1,2,4.5
1,3,5.0
1,4,1.5
1,5,4.8
1,6,2.0
1,7,4.5
1,8,4.0
1,19,5.0
1,20,4.5
1,21,4.8
1,23,5.0
2,1,2.0
2,4,4.5
2,6,5.0
2,11,4.8
2,13,4.5
2,27,4.9
2,28,4.6
3,1,4.8
3,2,4.0
3,3,4.7
3,4,1.0
3,5,4.5
3,7,4.2
3,9,4.6
4,8,4.5
4,9,4.0
4,10,4.8
4,14,5.0
4,15,4.7
4,25,4.9
5,1,5.0
5,3,4.9
5,5,5.0
5,7,4.6
5,9,4.8
5,21,4.7
5,24,4.9
6,2,4.5
6,12,5.0
6,16,4.8
6,17,4.5
6,22,4.9
7,6,4.5
7,11,4.0
7,13,4.8
7,18,4.5
7,19,4.7
7,23,4.6
8,1,4.5
8,2,4.5
8,5,4.5
8,25,4.8
9,14,4.8
9,15,4.5
9,16,4.7
9,17,4.4
10,4,4.5
10,6,4.0
10,11,4.5
10,27,4.8
11,1,1.0
11,5,2.0
11,9,1.5
11,26,1.0
12,13,5.0
12,18,4.8
12,19,4.9
12,20,4.7
12,28,5.0
13,2,5.0
13,12,4.8
13,14,4.9
13,15,4.6
14,1,4.5
14,3,4.0
14,7,4.2
14,21,4.4
15,6,4.8
15,13,4.5
15,19,4.6
15,23,4.8
16,1,4.6
16,2,4.2
16,3,4.8
16,5,4.4
16,24,4.5
17,4,4.8
17,6,4.7
17,11,5.0
17,27,4.6
18,8,4.2
18,13,4.6
18,18,4.4
18,20,4.5
19,14,4.9
19,15,4.8
19,25,5.0
20,1,2.0
20,9,1.5
20,26,2.5
